asset,status,category,label,units,raw_file,coverage,n_rows,describe_n,contrast_n,sigma_annual_from_describe,calendar,calendar_check,expected_days_absent,values_on_a_non_trading_day,return_definition,not_an_investment_return,handling
ff_momentum,ok,return,Momentum factor (daily),"daily factor return, decimal",data/raw/F-F_Momentum_Factor_daily_20260913T220310Z.zip,1926-11-03..2026-07-31,26195.0,1259.0,501.0,0.18857887055227532,nyse,independent rule set,0.0,0.0,"already a return; the date set is checked against the calendar, and a factor return exists on the first day of the window while a price series needs a previous close -- that is a boundary difference, not a missing day",False,
gld,ok,return,SPDR Gold Shares (GLD),share closing price in USD; returns are decimals,data/raw/GLD_HISTORICAL_20260914T014635Z.xlsx,2004-11-18..2026-09-10,5690.0,1258.0,500.0,0.13390036298195174,nyse,independent rule set,0.0,0.0,P_t/P_(t-1) - 1 between consecutive observed days,False,
sp500,ok,price_change,S&P 500,"index points, price index, dividends excluded",data/raw/SP500_20260913T031157Z.csv,2016-09-12..2026-09-11,2610.0,1258.0,500.0,0.19236867212948663,nyse,independent rule set,0.0,0.0,P_t/P_(t-1) - 1 between consecutive observed days,True,
nasdaq100,ok,price_change,Nasdaq-100,"index points, price index, dividends excluded",data/raw/NASDAQ100_20260913T220232Z.csv,1986-01-02..2026-09-11,10616.0,1258.0,500.0,0.22616448309739204,nyse,independent rule set,0.0,0.0,P_t/P_(t-1) - 1 between consecutive observed days,True,
nikkei225,ok,price_change,Nikkei 225,"index points (JPY), price index, dividends excluded",data/raw/NIKKEI225_20260913T220233Z.csv,1949-05-16..2026-09-11,20175.0,1220.0,489.0,0.18519240596404887,jpx,independent rule set,0.0,0.0,P_t/P_(t-1) - 1 between consecutive observed days,True,
sx5e,"source found and column confirmed, COVERAGE INSUFFICIENT",price_change,EURO STOXX 50,"index points (EUR), price index, dividends excluded",,,,,,,,,,,,,"the official STOXX file hbrbcpe.txt is public and its own header row names the columns SX5P | SX5E | SXXP | SXXE | ... so column index 2 is EURO STOXX 50 -- confirmed by the file, not inferred. But this archive ends on 2016-10-04 and does not reach the study window, so the object is NOT in the baseline. The previous round's conclusion that Euro Stoxx was unavailable was reached from GUESSED FRED ids returning 404, which was the wrong kind of inference; this is the right reason, and it is a coverage gap rather than an absence of a source."
brent,ok,price_change,Brent crude spot,"USD per barrel, Europe Brent FOB spot",data/raw/DCOILBRENTEU_20260914T014818Z.csv,1987-05-20..2026-09-09,10256.0,1272.0,502.0,0.5633659968565148,source_grid,the file's own date grid; weaker check,0.0,0.0,P_t/P_(t-1) - 1 between consecutive observed days,True,
eurusd,ok,price_change,EUR/USD spot,"US dollars per one euro (FRED DEXUSEU quotes USD per EUR), so a rise means the euro appreciating",data/raw/DEXUSEU_20260914T014818Z.csv,1999-01-04..2026-09-04,7220.0,1245.0,498.0,0.06367572948883153,source_grid,the file's own date grid; weaker check,0.0,0.0,P_t/P_(t-1) - 1 between consecutive observed days,True,
usdjpy,ok,price_change,USD/JPY spot,"Japanese yen per one US dollar (FRED DEXJPUS quotes JPY per USD), so a rise means the dollar appreciating",data/raw/DEXJPUS_20260914T014818Z.csv,1971-01-04..2026-09-04,14525.0,1245.0,498.0,0.06986094790984193,source_grid,the file's own date grid; weaker check,0.0,0.0,P_t/P_(t-1) - 1 between consecutive observed days,True,
vix,ok,market_state,VIX,"percent, annualised implied volatility; a change is in VIX POINTS and is not a return",data/raw/CBOE_VIX_20260914T014635Z.csv,1990-01-02..2026-09-11,9271.0,,,,,,,,,,levels and changes only
ovx,ok,market_state,OVX (crude oil implied vol),"percent, annualised implied volatility; changes in points",data/raw/CBOE_OVX_20260914T014635Z.csv,2009-09-18..2026-09-11,4269.0,,,,,,,,,,levels and changes only
gvz,ok,market_state,GVZ (gold implied vol),"percent, annualised implied volatility; changes in points",data/raw/CBOE_GVZ_20260914T014635Z.csv,2009-09-18..2026-09-11,4269.0,,,,,,,,,,levels and changes only
dgs2,ok,market_state,US 2y Treasury yield,"percent per annum, a LEVEL; changes reported in basis points",data/raw/DGS2_20260914T014818Z.csv,1976-06-01..2026-09-10,13118.0,,,,,,,,,,levels and changes only
dgs10,ok,market_state,US 10y Treasury yield,"percent per annum, a LEVEL; changes reported in basis points",data/raw/DGS10_20260914T014818Z.csv,1962-01-02..2026-09-10,16878.0,,,,,,,,,,levels and changes only
dgs30,ok,market_state,US 30y Treasury yield,"percent per annum, a LEVEL; changes reported in basis points",data/raw/DGS30_20260914T014818Z.csv,1977-02-15..2026-09-10,12933.0,,,,,,,,,,levels and changes only
wti,ok,market_state,WTI crude spot,"USD per barrel, Cushing OK spot",data/raw/DCOILWTICO_20260914T014818Z.csv,1986-01-02..2026-09-09,10615.0,,,,,,,,,,levels and changes only
